,增长,通胀,利率,信用,海外,美元
2009-05-17,,,,,,
2009-05-24,,,,,,
2009-05-31,,,,,,
2009-06-07,,,,,,
2009-06-14,,,,,,
2009-06-21,,,,,,
2009-06-28,,,,,,
2009-07-05,,,,,,
2009-07-12,,,,,,
2009-07-19,,,,,,
2009-07-26,,,,,,
2009-08-02,,,,,,
2009-08-09,,,,,,
2009-08-16,,,,,,
2009-08-23,,,,,,
2009-08-30,,,,,,
2009-09-06,,,,,,
2009-09-13,,,,,,
2009-09-20,,,,,,
2009-09-27,,,,,,
2009-10-04,,,,,,
2009-10-11,,,,,,
2009-10-18,,,,,,
2009-10-25,,,,,,
2009-11-01,,,,,,
2009-11-08,,,,,,
2009-11-15,,,,,,
2009-11-22,,,,,,
2009-11-29,,,,,,
2009-12-06,,,,,,
2009-12-13,,,,,,
2009-12-20,,,,,,
2009-12-27,,,,,,
2010-01-03,,,,,,
2010-01-10,,,,,,
2010-01-17,,,,,,
2010-01-24,,,,,,
2010-01-31,,,,,,
2010-02-07,,,,,,
2010-02-14,,,,,,
2010-02-21,,,,,,
2010-02-28,,,,,,
2010-03-07,,,,,,
2010-03-14,,,,,,
2010-03-21,,,,,,
2010-03-28,,,,,,
2010-04-04,,,,,,
2010-04-11,,,,,,
2010-04-18,,,,,,
2010-04-25,,,,,,
2010-05-02,,,,,,
2010-05-09,,,,,,
2010-05-16,,,,,,
2010-05-23,,,,,,
2010-05-30,,,,,,
2010-06-06,,,,,,
2010-06-13,,,,,,
2010-06-20,,,,,,
2010-06-27,,,,,,
2010-07-04,,,,,,
2010-07-11,,,,,,
2010-07-18,,,,,,
2010-07-25,,,,,,
2010-08-01,,,,,,
2010-08-08,,,,,,
2010-08-15,,,,,,
2010-08-22,,,,,,
2010-08-29,,,,,,
2010-09-05,,,,,,
2010-09-12,,,,,,
2010-09-19,,,,,,
2010-09-26,,,,,,
2010-10-03,,,,,,
2010-10-10,,,,,,
2010-10-17,,,,,,
2010-10-24,,,,,,
2010-10-31,,,,,,
2010-11-07,,,,,,
2010-11-14,,,,,,
2010-11-21,,,,,,
2010-11-28,,,,,,
2010-12-05,,,,,,
2010-12-12,,,,,,
2010-12-19,,,,,,
2010-12-26,,,,,,
2011-01-02,,,,,,
2011-01-09,,,,,,
2011-01-16,,,,,,
2011-01-23,,,,,,
2011-01-30,,,,,,
2011-02-06,,,,,,
2011-02-13,,,,,,
2011-02-20,,,,,,
2011-02-27,,,,,,
2011-03-06,,,,,,
2011-03-13,,,,,,
2011-03-20,,,,,,
2011-03-27,,,,,,
2011-04-03,,,,,,
2011-04-10,,,,,,
2011-04-17,,,,,,
2011-04-24,,,,,,
2011-05-01,,,,,,
2011-05-08,,,,,,
2011-05-15,,,,,,
2011-05-22,,,,,,
2011-05-29,,,,,,
2011-06-05,,,,,,
2011-06-12,,,,,,
2011-06-19,,,,,,
2011-06-26,,,,,,
2011-07-03,,,,,,
2011-07-10,,,,,,
2011-07-17,,,,,,
2011-07-24,,,,,,
2011-07-31,,,,,,
2011-08-07,,,,,,
2011-08-14,,,,,,
2011-08-21,,,,,,
2011-08-28,,,,,,
2011-09-04,,,,,,
2011-09-11,,,,,,
2011-09-18,,,,,,
2011-09-25,,,,,,
2011-10-02,,,,,,
2011-10-09,,,,,,
2011-10-16,,,,,,
2011-10-23,,,,,,
2011-10-30,,,,,,
2011-11-06,,,,,,
2011-11-13,,,,,,
2011-11-20,,,,,,
2011-11-27,,,,,,
2011-12-04,,,,,,
2011-12-11,,,,,,
2011-12-18,,,,,,
2011-12-25,,,,,,
2012-01-01,,,,,,
2012-01-08,,,,,,
2012-01-15,,,,,,
2012-01-22,,,,,,
2012-01-29,,,,,,
2012-02-05,,,,,,
2012-02-12,,,,,,
2012-02-19,,,,,,
2012-02-26,,,,,,
2012-03-04,,,,,,
2012-03-11,,,,,,
2012-03-18,,,,,,
2012-03-25,,,,,,
2012-04-01,,,,,,
2012-04-08,,,,,,
2012-04-15,,,,,,
2012-04-22,,,,,,
2012-04-29,,,,,,
2012-05-06,2.0,,1.0,1.0,2.0,3.0
2012-05-13,2.0,,1.0,1.0,1.0,3.0
2012-05-20,2.0,,3.0,1.0,3.0,3.0
2012-05-27,2.0,,3.0,1.0,4.0,4.0
2012-06-03,2.0,,3.0,1.0,3.0,4.0
2012-06-10,2.0,,2.0,2.0,3.0,4.0
2012-06-17,2.0,,2.0,3.0,2.0,3.0
2012-06-24,2.0,,2.0,3.0,2.0,3.0
2012-07-01,3.0,,2.0,2.0,2.0,3.0
2012-07-08,3.0,4.0,2.0,2.0,2.0,3.0
2012-07-15,2.0,3.0,2.0,2.0,1.0,3.0
2012-07-22,2.0,2.0,2.0,2.0,1.0,3.0
2012-07-29,2.0,2.0,3.0,2.0,1.0,2.0
2012-08-05,2.0,1.0,3.0,1.0,2.0,2.0
2012-08-12,4.0,1.0,3.0,1.0,3.0,1.0
2012-08-19,3.0,1.0,3.0,1.0,3.0,2.0
2012-08-26,3.0,1.0,4.0,1.0,3.0,1.0
2012-09-02,3.0,1.0,4.0,1.0,3.0,1.0
2012-09-09,2.0,1.0,4.0,2.0,3.0,3.0
2012-09-16,2.0,1.0,4.0,2.0,2.0,2.0
2012-09-23,3.0,2.0,4.0,3.0,1.0,2.0
2012-09-30,3.0,4.0,4.0,2.0,1.0,2.0
2012-10-07,3.0,4.0,4.0,2.0,2.0,1.0
2012-10-14,3.0,4.0,4.0,2.0,4.0,1.0
2012-10-21,3.0,3.0,4.0,2.0,4.0,1.0
2012-10-28,3.0,3.0,4.0,2.0,3.0,1.0
2012-11-04,3.0,3.0,4.0,2.0,3.0,1.0
2012-11-11,3.0,2.0,4.0,2.0,3.0,1.0
2012-11-18,2.0,2.0,4.0,2.0,2.0,1.0
2012-11-25,2.0,2.0,4.0,1.0,2.0,1.0
2012-12-02,1.0,2.0,4.0,1.0,2.0,1.0
2012-12-09,1.0,2.0,4.0,1.0,2.0,1.0
2012-12-16,2.0,3.0,4.0,1.0,1.0,1.0
2012-12-23,2.0,2.0,4.0,1.0,1.0,2.0
2012-12-30,3.0,3.0,4.0,1.0,1.0,4.0
2013-01-06,4.0,4.0,4.0,1.0,1.0,4.0
2013-01-13,4.0,4.0,4.0,2.0,1.0,4.0
2013-01-20,4.0,4.0,3.0,4.0,1.0,4.0
2013-01-27,3.0,4.0,2.0,4.0,1.0,2.0
2013-02-03,2.0,4.0,1.0,4.0,1.0,2.0
2013-02-10,1.0,4.0,1.0,4.0,3.0,1.0
2013-02-17,1.0,3.0,1.0,4.0,4.0,1.0
2013-02-24,1.0,3.0,1.0,4.0,4.0,2.0
2013-03-03,2.0,3.0,1.0,3.0,4.0,2.0
2013-03-10,2.0,4.0,1.0,3.0,4.0,3.0
2013-03-17,3.0,4.0,1.0,2.0,3.0,3.0
2013-03-24,3.0,4.0,1.0,2.0,3.0,3.0
2013-03-31,3.0,4.0,2.0,3.0,2.0,3.0
2013-04-07,3.0,4.0,3.0,3.0,1.0,2.0
2013-04-14,2.0,3.0,2.0,3.0,1.0,2.0
2013-04-21,1.0,3.0,2.0,2.0,1.0,1.0
2013-04-28,1.0,1.0,3.0,4.0,1.0,1.0
2013-05-05,1.0,1.0,4.0,4.0,1.0,1.0
2013-05-12,1.0,1.0,4.0,4.0,2.0,1.0
2013-05-19,2.0,2.0,4.0,4.0,3.0,1.0
2013-05-26,3.0,3.0,3.0,4.0,4.0,1.0
2013-06-02,3.0,3.0,3.0,4.0,4.0,2.0
2013-06-09,3.0,3.0,2.0,4.0,4.0,3.0
2013-06-16,2.0,3.0,2.0,4.0,4.0,3.0
2013-06-23,2.0,3.0,2.0,4.0,4.0,2.0
2013-06-30,2.0,2.0,2.0,4.0,4.0,2.0
2013-07-07,2.0,2.0,2.0,4.0,4.0,2.0
2013-07-14,3.0,3.0,2.0,4.0,3.0,2.0
2013-07-21,4.0,4.0,2.0,4.0,3.0,2.0
2013-07-28,4.0,4.0,3.0,4.0,2.0,2.0
2013-08-04,4.0,4.0,3.0,4.0,2.0,1.0
2013-08-11,3.0,4.0,3.0,4.0,2.0,1.0
2013-08-18,1.0,4.0,3.0,4.0,2.0,1.0
2013-08-25,1.0,3.0,3.0,4.0,2.0,2.0
2013-09-01,1.0,3.0,3.0,4.0,2.0,2.0
2013-09-08,1.0,2.0,3.0,4.0,2.0,3.0
2013-09-15,1.0,1.0,1.0,4.0,1.0,4.0
2013-09-22,1.0,1.0,2.0,4.0,1.0,4.0
2013-09-29,1.0,1.0,2.0,4.0,1.0,4.0
2013-10-06,2.0,1.0,3.0,3.0,2.0,4.0
2013-10-13,4.0,1.0,3.0,1.0,2.0,4.0
2013-10-20,4.0,1.0,3.0,1.0,3.0,4.0
2013-10-27,4.0,1.0,3.0,1.0,4.0,4.0
2013-11-03,4.0,1.0,2.0,1.0,4.0,4.0
2013-11-10,4.0,2.0,4.0,1.0,3.0,4.0
2013-11-17,3.0,1.0,4.0,2.0,3.0,3.0
2013-11-24,3.0,1.0,4.0,3.0,3.0,1.0
2013-12-01,4.0,1.0,3.0,3.0,2.0,1.0
2013-12-08,4.0,1.0,3.0,3.0,2.0,1.0
2013-12-15,4.0,2.0,2.0,3.0,2.0,1.0
2013-12-22,4.0,3.0,2.0,3.0,3.0,1.0
2013-12-29,4.0,3.0,1.0,3.0,3.0,1.0
2014-01-05,3.0,2.0,1.0,3.0,3.0,1.0
2014-01-12,3.0,2.0,1.0,4.0,2.0,1.0
2014-01-19,2.0,2.0,1.0,4.0,1.0,2.0
2014-01-26,2.0,2.0,1.0,4.0,1.0,4.0
2014-02-02,2.0,2.0,1.0,4.0,1.0,4.0
2014-02-09,2.0,2.0,1.0,4.0,1.0,4.0
2014-02-16,2.0,2.0,2.0,4.0,1.0,4.0
2014-02-23,2.0,2.0,3.0,4.0,1.0,4.0
2014-03-02,2.0,2.0,4.0,4.0,1.0,3.0
2014-03-09,2.0,1.0,3.0,4.0,1.0,3.0
2014-03-16,1.0,1.0,3.0,3.0,1.0,2.0
2014-03-23,1.0,1.0,3.0,2.0,1.0,2.0
2014-03-30,2.0,1.0,2.0,1.0,1.0,2.0
2014-04-06,3.0,1.0,1.0,1.0,1.0,2.0
2014-04-13,4.0,1.0,1.0,1.0,1.0,1.0
2014-04-20,4.0,1.0,1.0,1.0,3.0,1.0
2014-04-27,4.0,1.0,1.0,1.0,4.0,1.0
2014-05-04,4.0,1.0,1.0,1.0,4.0,1.0
2014-05-11,4.0,2.0,1.0,2.0,4.0,1.0
2014-05-18,4.0,4.0,1.0,2.0,4.0,1.0
2014-05-25,3.0,4.0,1.0,3.0,4.0,1.0
2014-06-01,1.0,4.0,3.0,3.0,4.0,1.0
2014-06-08,1.0,2.0,4.0,3.0,4.0,1.0
2014-06-15,1.0,2.0,4.0,3.0,4.0,2.0
2014-06-22,1.0,2.0,4.0,2.0,4.0,2.0
2014-06-29,2.0,2.0,3.0,3.0,4.0,2.0
2014-07-06,3.0,3.0,2.0,2.0,4.0,2.0
2014-07-13,2.0,3.0,2.0,2.0,3.0,2.0
2014-07-20,2.0,3.0,2.0,3.0,3.0,3.0
2014-07-27,2.0,3.0,2.0,3.0,3.0,3.0
2014-08-03,2.0,2.0,2.0,4.0,3.0,3.0
2014-08-10,1.0,2.0,3.0,4.0,3.0,4.0
2014-08-17,1.0,2.0,4.0,4.0,3.0,4.0
2014-08-24,1.0,2.0,4.0,3.0,2.0,4.0
2014-08-31,1.0,2.0,4.0,2.0,2.0,4.0
2014-09-07,1.0,3.0,4.0,2.0,1.0,4.0
2014-09-14,1.0,4.0,4.0,2.0,2.0,4.0
2014-09-21,1.0,4.0,4.0,3.0,4.0,4.0
2014-09-28,1.0,4.0,4.0,3.0,3.0,4.0
2014-10-05,2.0,4.0,3.0,3.0,3.0,4.0
2014-10-12,3.0,4.0,1.0,3.0,2.0,4.0
2014-10-19,4.0,3.0,1.0,3.0,2.0,4.0
2014-10-26,4.0,3.0,3.0,3.0,2.0,4.0
2014-11-02,4.0,3.0,3.0,2.0,2.0,4.0
2014-11-09,4.0,3.0,4.0,2.0,2.0,3.0
2014-11-16,3.0,4.0,3.0,2.0,3.0,2.0
2014-11-23,2.0,4.0,3.0,3.0,4.0,1.0
2014-11-30,1.0,4.0,2.0,3.0,4.0,1.0
2014-12-07,2.0,4.0,2.0,3.0,4.0,1.0
2014-12-14,2.0,4.0,2.0,3.0,4.0,1.0
2014-12-21,3.0,4.0,1.0,3.0,4.0,1.0
2014-12-28,3.0,4.0,1.0,3.0,2.0,2.0
2015-01-04,4.0,4.0,1.0,3.0,1.0,2.0
2015-01-11,4.0,4.0,1.0,3.0,1.0,4.0
2015-01-18,4.0,4.0,1.0,2.0,1.0,4.0
2015-01-25,4.0,3.0,1.0,2.0,1.0,3.0
2015-02-01,4.0,2.0,1.0,3.0,1.0,3.0
2015-02-08,4.0,3.0,1.0,2.0,1.0,3.0
2015-02-15,4.0,3.0,1.0,1.0,1.0,3.0
2015-02-22,4.0,3.0,1.0,1.0,1.0,3.0
2015-03-01,4.0,3.0,1.0,1.0,2.0,3.0
2015-03-08,4.0,4.0,3.0,1.0,4.0,3.0
2015-03-15,4.0,3.0,4.0,1.0,4.0,4.0
2015-03-22,4.0,3.0,4.0,2.0,4.0,4.0
2015-03-29,4.0,3.0,4.0,2.0,4.0,4.0
2015-04-05,4.0,3.0,4.0,2.0,4.0,4.0
2015-04-12,4.0,3.0,4.0,3.0,4.0,4.0
2015-04-19,4.0,4.0,4.0,4.0,4.0,4.0
2015-04-26,4.0,4.0,4.0,4.0,4.0,4.0
2015-05-03,4.0,3.0,2.0,4.0,3.0,3.0
2015-05-10,4.0,2.0,1.0,3.0,3.0,3.0
2015-05-17,4.0,2.0,3.0,3.0,4.0,3.0
2015-05-24,4.0,2.0,3.0,3.0,4.0,3.0
2015-05-31,4.0,2.0,3.0,4.0,4.0,4.0
2015-06-07,4.0,2.0,3.0,4.0,4.0,4.0
2015-06-14,3.0,2.0,3.0,4.0,4.0,4.0
2015-06-21,2.0,1.0,3.0,4.0,4.0,3.0
2015-06-28,1.0,1.0,3.0,4.0,3.0,3.0
2015-07-05,3.0,1.0,3.0,4.0,2.0,2.0
2015-07-12,3.0,1.0,4.0,3.0,3.0,1.0
2015-07-19,3.0,1.0,4.0,4.0,4.0,2.0
2015-07-26,3.0,1.0,4.0,4.0,4.0,2.0
2015-08-02,3.0,1.0,4.0,4.0,4.0,2.0
2015-08-09,2.0,1.0,4.0,4.0,4.0,2.0
2015-08-16,2.0,1.0,4.0,4.0,4.0,2.0
2015-08-23,2.0,2.0,4.0,3.0,4.0,4.0
2015-08-30,2.0,2.0,3.0,3.0,2.0,4.0
2015-09-06,3.0,3.0,1.0,3.0,2.0,3.0
2015-09-13,4.0,3.0,1.0,3.0,2.0,3.0
2015-09-20,3.0,3.0,1.0,3.0,3.0,3.0
2015-09-27,1.0,2.0,1.0,3.0,3.0,3.0
2015-10-04,1.0,2.0,1.0,3.0,4.0,2.0
2015-10-11,1.0,3.0,1.0,3.0,4.0,2.0
2015-10-18,1.0,3.0,2.0,4.0,4.0,2.0
2015-10-25,1.0,3.0,3.0,3.0,4.0,2.0
2015-11-01,1.0,2.0,4.0,4.0,4.0,1.0
2015-11-08,1.0,2.0,3.0,4.0,4.0,1.0
2015-11-15,2.0,1.0,3.0,4.0,3.0,1.0
2015-11-22,3.0,1.0,3.0,3.0,4.0,1.0
2015-11-29,4.0,1.0,2.0,2.0,4.0,1.0
2015-12-06,4.0,1.0,2.0,2.0,4.0,1.0
2015-12-13,4.0,1.0,2.0,3.0,4.0,1.0
2015-12-20,3.0,2.0,3.0,3.0,4.0,2.0
2015-12-27,3.0,3.0,4.0,2.0,4.0,3.0
2016-01-03,3.0,3.0,4.0,2.0,4.0,3.0
2016-01-10,3.0,2.0,4.0,2.0,4.0,3.0
2016-01-17,2.0,2.0,4.0,1.0,4.0,3.0
2016-01-24,1.0,2.0,4.0,1.0,3.0,3.0
2016-01-31,1.0,2.0,4.0,1.0,3.0,3.0
2016-02-07,1.0,2.0,3.0,1.0,2.0,3.0
2016-02-14,1.0,2.0,4.0,1.0,4.0,3.0
2016-02-21,1.0,3.0,4.0,1.0,4.0,3.0
2016-02-28,1.0,4.0,4.0,1.0,4.0,3.0
2016-03-06,2.0,4.0,4.0,1.0,3.0,4.0
2016-03-13,3.0,4.0,3.0,1.0,3.0,4.0
2016-03-20,3.0,4.0,4.0,1.0,3.0,4.0
2016-03-27,3.0,4.0,4.0,1.0,2.0,4.0
2016-04-03,3.0,4.0,4.0,1.0,2.0,4.0
2016-04-10,3.0,4.0,4.0,2.0,3.0,4.0
2016-04-17,3.0,4.0,4.0,2.0,4.0,4.0
2016-04-24,3.0,3.0,4.0,2.0,4.0,4.0
2016-05-01,4.0,2.0,4.0,1.0,4.0,3.0
2016-05-08,4.0,1.0,4.0,1.0,4.0,1.0
2016-05-15,4.0,1.0,4.0,1.0,4.0,1.0
2016-05-22,4.0,1.0,4.0,1.0,4.0,1.0
2016-05-29,4.0,1.0,4.0,1.0,3.0,1.0
2016-06-05,3.0,1.0,3.0,1.0,3.0,1.0
2016-06-12,3.0,1.0,3.0,1.0,3.0,2.0
2016-06-19,3.0,1.0,2.0,1.0,2.0,1.0
2016-06-26,3.0,1.0,1.0,1.0,2.0,1.0
2016-07-03,3.0,2.0,1.0,1.0,2.0,2.0
2016-07-10,4.0,3.0,1.0,1.0,3.0,2.0
2016-07-17,4.0,3.0,1.0,1.0,2.0,2.0
2016-07-24,3.0,3.0,1.0,1.0,2.0,2.0
2016-07-31,3.0,3.0,1.0,1.0,1.0,2.0
2016-08-07,2.0,3.0,1.0,3.0,1.0,2.0
2016-08-14,2.0,3.0,1.0,3.0,1.0,2.0
2016-08-21,2.0,3.0,2.0,2.0,1.0,3.0
2016-08-28,2.0,4.0,2.0,2.0,2.0,2.0
2016-09-04,3.0,4.0,3.0,2.0,2.0,2.0
2016-09-11,3.0,4.0,3.0,1.0,2.0,3.0
2016-09-18,2.0,4.0,2.0,2.0,1.0,3.0
2016-09-25,1.0,4.0,2.0,1.0,1.0,3.0
2016-10-02,1.0,4.0,2.0,2.0,1.0,3.0
2016-10-09,1.0,4.0,3.0,3.0,1.0,3.0
2016-10-16,1.0,4.0,4.0,4.0,1.0,4.0
2016-10-23,1.0,4.0,4.0,3.0,1.0,3.0
2016-10-30,1.0,3.0,4.0,4.0,1.0,2.0
2016-11-06,1.0,3.0,4.0,4.0,2.0,2.0
2016-11-13,2.0,4.0,4.0,4.0,2.0,2.0
